"state","State_name","Population","date","category","count","dataQualityGrade"
"NY","New York ",19453561,2020-05-28,"posNeg",1876789,"A"
"OH","Ohio *",11689100,2020-05-28,"posNeg",360012,"B"
"OK","Oklahoma ",3956971,2020-05-28,"posNeg",182406,"A+"
"OR","Oregon ",4217737,2020-05-28,"posNeg",119647,"A+"
"PA","Pennsylvania ",12801989,2020-05-28,"posNeg",427846,"A+"
"PR","Puerto Rico *",2933408,2020-05-28,"posNeg",3486,"B"
"RI","Rhode Island ",1059361,2020-05-28,"posNeg",140365,"A+"
"SC","South Carolina ",5148714,2020-05-28,"posNeg",182249,"A"
"SD","South Dakota *",884659,2020-05-28,"posNeg",39026,"B"
"TN","Tennessee *",6829174,2020-05-28,"posNeg",415989,"B"
"TX","Texas *",28995881,2020-05-28,"posNeg",873218,"B"
"UT","Utah *",3205958,2020-05-28,"posNeg",203507,"B"
"VA","Virginia ",8535519,2020-05-28,"posNeg",287281,"A+"
"VT","Vermont *",623989,2020-05-28,"posNeg",31152,"B"
"WA","Washington *",7614893,2020-05-28,"posNeg",335801,"B"
"WI","Wisconsin ",5822434,2020-05-28,"posNeg",237693,"A+"
"WV","West Virginia *",1792147,2020-05-28,"posNeg",90315,"B"
"AK","Alaska ",731545,2020-05-27,"posNeg",46363,"A"
"AL","Alabama *",4903185,2020-05-27,"posNeg",195794,"B"
"AR","Arkansas ",3017804,2020-05-27,"posNeg",115596,"A"
"AZ","Arizona ",7278717,2020-05-27,"posNeg",196266,"A+"
"CA","California *",39512223,2020-05-27,"posNeg",1736894,"B"
"CO","Colorado ",5758736,2020-05-27,"posNeg",159420,"A"
"CT","Connecticut *",3565287,2020-05-27,"posNeg",225362,"B"
"DC","District of Columbia ",705749,2020-05-27,"posNeg",42697,"A+"
"DE","Delaware ",973764,2020-05-27,"posNeg",55421,"A"
"FL","Florida ",21477737,2020-05-27,"posNeg",933571,"A"
"GA","Georgia ",10617423,2020-05-27,"posNeg",440756,"A"
"GU","Guam *",167772,2020-05-27,"posNeg",5685,"B"
"IA","Iowa ",3155070,2020-05-27,"posNeg",139526,"A+"
"ID","Idaho ",1787065,2020-05-27,"posNeg",43017,"A"
"IL","Illinois ",16980127,2020-05-27,"posNeg",803973,"A"
"IN","Indiana ",6732219,2020-05-27,"posNeg",235333,"A+"
"KS","Kansas ",2913314,2020-05-27,"posNeg",84488,"A"
"KY","Kentucky ",4467673,2020-05-27,"posNeg",182101,"A"
"LA","Louisiana *",4648794,2020-05-27,"posNeg",347647,"B"
"MA","Massachusetts ",6892503,2020-05-27,"posNeg",545481,"A+"
"MD","Maryland *",6045680,2020-05-27,"posNeg",262055,"B"
"ME","Maine *",1344212,2020-05-27,"posNeg",45617,"B"
"MI","Michigan ",9986857,2020-05-27,"posNeg",494252,"A+"
"MN","Minnesota ",5639632,2020-05-27,"posNeg",216532,"A"
"MO","Missouri *",6840439,2020-05-27,"posNeg",165521,"B"
"MS","Mississippi ",2976149,2020-05-27,"posNeg",148132,"A"
"NC","North Carolina ",10488084,2020-05-27,"posNeg",364156,"A"
"NH","New Hampshire *",1359711,2020-05-27,"posNeg",64232,"B"
"NJ","New Jersey ",8882190,2020-05-27,"posNeg",660325,"A+"
